reaction,product,Coefficient of reactants,reaction list,Feature,,,,,,,,,,,,,,,,△G,△G_norm
,,,,xTPi,xO2,xO2•-,x•OH,xe-,xh+,xH+,yTPj,yCO2,yH2O,yNH4+,yNO3-,"EHOMO,TPi","EHOMO,TPj","Egap,TPi","Egap,TPj",,
TP23,TP32,C19H22NO9 + e- + 7H+ = C18H23NO4 + CO2 + 3H2O,-1.313,1.313,0,0,0,1.313,0,9.188,-1.313,-1.313,-3.938,0,0,-7.92,-7.83,6.87,7.12,-59.75,0.355435621
TP23,TP32,C19H22NO9 + e- + 7H+ = C18H23NO4 + CO2 + 3H2O,-1.241,1.241,0,0,0,1.241,0,8.69,-1.241,-1.241,-3.724,0,0,-7.92,-7.83,6.87,7.12,-56.51,0.376252891
TP23,TP32,C19H22NO9 + e- + 7H+ = C18H23NO4 + CO2 + 3H2O,-1.208,1.208,0,0,0,1.208,0,8.453,-1.208,-1.208,-3.623,0,0,-7.92,-7.83,6.87,7.12,-54.97,0.38614752
TP23,TP32,C19H22NO9 + e- + 7H+ = C18H23NO4 + CO2 + 3H2O,-1.125,1.125,0,0,0,1.125,0,7.875,-1.125,-1.125,-3.375,0,0,-7.92,-7.83,6.87,7.12,-51.21,0.410305834
TP23,TP32,C19H22NO9 + e- + 7H+ = C18H23NO4 + CO2 + 3H2O,-1.075,1.075,0,0,0,1.075,0,7.522,-1.075,-1.075,-3.224,0,0,-7.92,-7.83,6.87,7.12,-48.92,0.425019275
TP23,TP32,C19H22NO9 + e- + 7H+ = C18H23NO4 + CO2 + 3H2O,-1.048,1.048,0,0,0,1.048,0,7.333,-1.048,-1.048,-3.143,0,0,-7.92,-7.83,6.87,7.12,-47.69,0.432922128
TP23,TP32,C19H22NO9 + e- + 7H+ = C18H23NO4 + CO2 + 3H2O,-0.947,0.947,0,0,0,0.947,0,6.632,-0.947,-0.947,-2.842,0,0,-7.92,-7.83,6.87,7.12,-43.12,0.46228476
TP51,TP67,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.78,-7.75,7.94,6.5,-11.16,0.667630429
TP52,TP67,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.75,-7.75,7.91,6.5,-11.14,0.667758931
TP51,TP68,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.78,-7.38,7.94,6,-11.05,0.668337188
TP52,TP68,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.75,-7.38,7.91,6,-11.03,0.66846569
TP51,TP63,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.78,-6.1,7.94,5.1,-10.92,0.669172449
TP52,TP63,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.75,-6.1,7.91,5.1,-10.91,0.6692367
TP51,TP66,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.78,-8.19,7.94,5.49,-10.68,0.670714469
TP51,TP65,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.78,-7.6,7.94,5.86,-10.67,0.67077872
TP52,TP66,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.75,-8.19,7.91,5.49,-10.67,0.67077872
TP52,TP65,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.75,-7.6,7.91,5.86,-10.65,0.670907222
TP51,TP64,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.78,-7.24,7.94,5.55,-10.45,0.672192238
TP52,TP64,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.75,-7.24,7.91,5.55,-10.43,0.67232074
TP51,TP69,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.78,-8.21,7.94,5.51,-10.13,0.674248265
TP52,TP69,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.75,-8.21,7.91,5.51,-10.12,0.674312516
TP51,TP67,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.78,-7.75,7.94,6.5,-9.05,0.681187355
TP52,TP67,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.75,-7.75,7.91,6.5,-9.04,0.681251606
TP51,TP68,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.78,-7.38,7.94,6,-8.94,0.681894115
TP52,TP68,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.75,-7.38,7.91,6,-8.92,0.682022616
TP51,TP63,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.78,-6.1,7.94,5.1,-8.82,0.682665125
TP52,TP63,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.75,-6.1,7.91,5.1,-8.81,0.682729375
TP51,TP66,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.78,-8.19,7.94,5.49,-8.58,0.684207145
TP51,TP65,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.78,-7.6,7.94,5.86,-8.56,0.684335646
TP52,TP66,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.75,-8.19,7.91,5.49,-8.56,0.684335646
TP52,TP65,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.75,-7.6,7.91,5.86,-8.55,0.684399897
TP51,TP62,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.78,-7.89,7.94,6.41,-8.48,0.684849653
TP52,TP62,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.75,-7.89,7.91,6.41,-8.41,0.685299409
TP51,TP64,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.78,-7.24,7.94,5.55,-8.34,0.685749165
TP52,TP64,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.75,-7.24,7.91,5.55,-8.33,0.685813416
TP51,TP61,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.78,-7.58,7.94,5.92,-8.25,0.686327422
TP52,TP61,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.75,-7.58,7.91,5.92,-8.24,0.686391673
